country_code,country,continent,publications,cited_by_count,institutions,authors
PE,Peru,Latin America and Caribbean,11,170,Clínica Las Condes; Daniel Alcides Carrión National University; Demos; Endangered Language Fund; Group for the Analysis of Development; National University of Education Enrique Guzmán y Valle; National University of Engineering; National University of San Marcos; Peruvian University of Applied Sciences; Private University of the North; Universidad César Vallejo; Universidad Norbert Wiener; Universidad Peruana Unión; Universidad San Ignacio de Loyola,Alicia Bartolomé Huamán; Araceli Pinedo-Castro; Carlos Alberto Vásquez Villanueva; Doris Alicia Vila-Gómez; Edgar Froilán Damián Núñez; Elizabeth Dávila; F. Rodríguez; Gladys Hernández Romero. Dra; Hitlser Juan Castillo Paredes; Jazmín Alicia Tuesta-Vila; Jenny Liliana Rodríguez Siu; Jesús Marino Gomez Miguel; Jorge Roberto Chinchay Huarcaya; José Guadalupe Sánchez Aquino; Leonardo Fuerte Montaño; Lida Vásquez-Pajuelo; Lizardo Vásquez Villanueva; Nalda Guadalupe Damián Núñez; Raúl Eduardo Rodríguez Salazar; Rodolfo Rojas Gallo; Rubén Gómez Sánchez Soto; Salomón Axel Vásquez Campos; Salomón Vásquez Villanueva
CO,Colombia,Latin America and Caribbean,10,287,Corporación Universitaria Minuto de Dios; National Training Service; Pedagogical and Technological University of Colombia; Politécnico Grancolombiano; Universidad Autónoma del Caribe; Universidad Externado de Colombia; Universitaria de Investigación y Desarrollo; University of Pamplona; University of Sucre,Adan Ferney Villamizar-Mancilla; Adriana Granados-Comba; Brenda Valentina Enciso-Galindo; Claudia Patricia Villa Borrero; Diana Téllez; Gina Y. Fuentes; Glenny María González Ruiz; Irina Nicole Granados; Jaime De La Ossa V; Jenny Andrea Romero González; Leandro Miguel Pérez Gómez; Lina Paola Yiseth Arévalo-Peña; Luis Felipe Arciniegas-Hurtado; Luis Miguel Medrano Moreno; Luz Piedad Castañeda-Villamizar; María Beatriz García; María Gloria González-Molina; María José Montenegro Pertúz; Paula Andrea Tovar-Arévalo; Paula Ivette Bonza-Forero; Rafael León; Sandra Lucía López Clavijo; Sandra Patricia Guerra-Báez; Yenny-Carolina Jaimes-Acero; Youseline Garavito-Hernández; Yudy Quintero-Pulgar
MX,Mexico,North America,10,195,Autonomous University of Yucatán; Centro Universitario de Coatzacoalcos; Instituto Politécnico Nacional; Tecnológico Nacional de México; Universidad Autónoma de Nuevo León; Universidad Autónoma del Estado de Hidalgo; Universidad Veracruzana; Universidad de Ciego de Ávila,Carmen Rey Benguría; Claudia Alejandra Hernández Herrera; Edgar Oliver Cardoso-Espinosa; Elí Samuel González-Trejo; Esteban Pacheco López; Gladis Ivette Chan; Gloria Pedroza Cantú; Juan Carlos Neri Torres; Jésica Alhelí Cortés Ruiz; Luis Armando González; Marisa Zaldívar Acosta; Marisa del Socorro Zaldívar Acosta; María Edith Gómez Gamero; María Elena Zepeda Hurtado; María Elena Zepeda-Hurtado; María Guadalupe Veytia Bucheli; Miguel Ángel Clara Zafra; Rafael Vargas; Ruth Isela Martínez-Valdez; Sandra Natalia Ceja Romay; Saraí Cárdenas Mata; Susana Céspedes Gallegos; Édgar Oliver Cardoso Espinosa
EC,Ecuador,Latin America and Caribbean,7,208,Escuela Superior Politécnica del Chimborazo; Instituto Superior Tecnológico Loja; Mercy Corps; Tecnológico Sudamericano; Universidad Ecotec; Universidad Indoamérica; Universidad Nacional de Chimborazo; Universidad Nacional de Loja; Universidad Técnica Estatal de Quevedo; Universidad de Cádiz; Universitat Pompeu Fabra,Ana Marcela Cordero-Clavijo; Cecilia del Carmen Costa Samaniego; Doris Gallegos Barzola; Francisco Tafur-Méndez; Gilma Vallejo-Piza; Israel Fernando Ramón Salcedo; Jackson Michael Quevedo-Jumbo; Jordi Xifra Triadú; Lilia Eulalia Rivera Balseca; Manuel Joaquín Machado Sotomayor; Marcos Antonio Espinoza Mina; María Angélica Idrobo Gutiérrez; María Cristina Moreira-Sarmiento; Mayra Zambrano-Chamba; Miguel Enrique Valle Vargas; Máximo Abel Ramírez Chávez; Nancy Johana Córdova-Tobar; Nelly Narcisa Manjarrez Fuentes; Odalys Marrero Sánchez; Rachida Mohamed Amar
ES,Spain,Europe,3,142,Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia; Motiva (Finland); Rede de Química e Tecnologia; Tecnologie Avanzate (Italy); UNESCO; Universidad Católica de Murcia; Universidad Complutense de Madrid; Universidad Ecotec; Universidad UNIACC; Universidad de Cádiz; Universidad de Los Andes; Universitat Pompeu Fabra,Andrea Naranjo; Jordi Xifra Triadú; María Dolores Aledo Ruiz; Odalys Marrero Sánchez; Rachida Mohamed Amar
CL,Chile,Latin America and Caribbean,3,72,Clínica Las Condes; Demos; Endangered Language Fund; Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia; Group for the Analysis of Development; Motiva (Finland); Rede de Química e Tecnologia; Tecnologie Avanzate (Italy); UNESCO; Universidad Complutense de Madrid; Universidad UNIACC; Universidad de Aconcagua; Universidad de Los Andes,Andrea Naranjo; Fernando Vera Millalén; Gladys Hernández Romero. Dra; José Guadalupe Sánchez Aquino
UNKNOWN,UNKNOWN,Unknown,3,27,Universidad Técnica Nacional,Carlos Ernesto Ortega Santos; Héctor de; MBA Lorena López López; Msc Carla Lozano
US,United States,North America,2,62,Clínica Las Condes; Demos; Endangered Language Fund; Group for the Analysis of Development; Mercy Corps; Universidad Ecotec,Doris Gallegos Barzola; Gladys Hernández Romero. Dra; José Guadalupe Sánchez Aquino; Marcos Antonio Espinoza Mina
BO,BO,Unknown,2,34,Ecogenomics (Japan); Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia; Hoseo University; Motiva (Finland); Rede de Química e Tecnologia; Tecnologie Avanzate (Italy); UNESCO; Universidad Andina Simón Bolívar; Universidad Complutense de Madrid; Universidad UNIACC; Universidad de Los Andes,Andrea Naranjo; Gonzalo Lenin Serrano Mantilla; Hector Bladimir Serrano Mantilla
AR,Argentina,Latin America and Caribbean,1,31,Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia; Motiva (Finland); Rede de Química e Tecnologia; Tecnologie Avanzate (Italy); UNESCO; Universidad Complutense de Madrid; Universidad UNIACC; Universidad de Los Andes,Andrea Naranjo
FI,Finland,Europe,1,31,Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia; Motiva (Finland); Rede de Química e Tecnologia; Tecnologie Avanzate (Italy); UNESCO; Universidad Complutense de Madrid; Universidad UNIACC; Universidad de Los Andes,Andrea Naranjo
FR,France,Europe,1,31,Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia; Motiva (Finland); Rede de Química e Tecnologia; Tecnologie Avanzate (Italy); UNESCO; Universidad Complutense de Madrid; Universidad UNIACC; Universidad de Los Andes,Andrea Naranjo
IT,Italy,Europe,1,31,Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia; Motiva (Finland); Rede de Química e Tecnologia; Tecnologie Avanzate (Italy); UNESCO; Universidad Complutense de Madrid; Universidad UNIACC; Universidad de Los Andes,Andrea Naranjo
PT,Portugal,Europe,1,31,Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia; Motiva (Finland); Rede de Química e Tecnologia; Tecnologie Avanzate (Italy); UNESCO; Universidad Complutense de Madrid; Universidad UNIACC; Universidad de Los Andes,Andrea Naranjo
VE,Venezuela,Latin America and Caribbean,1,19,Libertador Experimental Pedagogical University,Gilberto Aranguren Peraza
PL,Poland,Europe,1,16,Consolidated Precision Products (Poland),Segundo Juan Sánchez Tarrillo; Silvia Josefina Aguinaga Vásquez
CR,CR,Unknown,1,12,Universidad Nacional,Eduardo Araya-Fernández; Gabriela Garita-González
CU,Cuba,Latin America and Caribbean,1,11,Instituto Politécnico Nacional; Universidad de Ciego de Ávila,Carmen Rey Benguría; Edgar Oliver Cardoso-Espinosa; María Elena Zepeda-Hurtado
SV,SV,Unknown,1,4,Universidad Católica de El Salvador,Iris Yamileth Jiménez
JP,Japan,Asia,1,3,Ecogenomics (Japan); Hoseo University; Universidad Andina Simón Bolívar,Gonzalo Lenin Serrano Mantilla; Hector Bladimir Serrano Mantilla
KR,South Korea,Asia,1,3,Ecogenomics (Japan); Hoseo University; Universidad Andina Simón Bolívar,Gonzalo Lenin Serrano Mantilla; Hector Bladimir Serrano Mantilla
