keyword,frequency,type
habilidades,258,keyword
blandas,197,keyword
desarrollo,59,keyword
estudiantes,55,keyword
formacion,42,keyword
laboral,35,keyword
educacion,32,keyword
skills,29,keyword
objetivo,29,keyword
desempeno,26,keyword
nivel,24,keyword
relacion,23,keyword
superior,22,keyword
profesional,22,keyword
trabajo,22,keyword
importancia,21,keyword
comunicacion,21,keyword
presente,21,keyword
docente,20,keyword
soft,20,keyword
proceso,20,keyword
aprendizaje,19,keyword
resultados,19,keyword
universidad,18,keyword
tipo,18,keyword
integral,17,keyword
ingenieria,16,keyword
profesionales,15,keyword
informacion,15,keyword
universitario,14,keyword
habilidades blandas,192,bigram
desarrollo habilidades,29,bigram
soft skills,20,bigram
blandas estudiantes,16,bigram
educacion superior,14,bigram
desempeno docente,13,bigram
importancia habilidades,12,bigram
habilidades duras,10,bigram
estudiantes universitarios,7,bigram
trabajo equipo,7,bigram
formacion integral,6,bigram
estudiantes ingenieria,6,bigram
formacion profesional,6,bigram
contexto universitario,6,bigram
blandas soft,6,bigram
toma decisiones,6,bigram
enfoque cuantitativo,6,bigram
blandas desempeno,5,bigram
nivel superior,5,bigram
blandas contexto,5,bigram
liderazgo directivo,5,bigram
hombres mujeres,5,bigram
proyecto vida,5,bigram
ambito laboral,5,bigram
desarrollo integral,5,bigram
habilidades socioemocionales,5,bigram
comunicacion asertiva,5,bigram
metodologia utilizada,5,bigram
resultados obtenidos,5,bigram
objetivo presente,5,bigram
